HUNDENAME,GEBURTSJAHR_HUND,GESCHLECHT_HUND
"Bonnie (Kremmi)",2010,"w"
"Bonnie (X Mas Bonbon)",2017,"w"
"Bonnie Bonita",2010,"w"
"Bonny",2005,"w"
"Bono",2016,"m"
"Bono",2007,"m"
"Bono",2006,"m"
"Bono",2008,"m"
"Bono",2012,"m"
"Bono",2006,"m"
"Bonsai",2007,"m"
"Bonsai",2008,"w"
"Bonsai von den Glückspfoten",2011,"m"
"Boo",2013,"m"
"Boo",2017,"m"
"Boo",2017,"m"
"Boo",2016,"m"
"Boofy",2011,"m"
"Boogy",2012,"m"
"Boomer",2009,"m"
"Born in the USA Brynn",2012,"w"
"Borre",2015,"m"
"Bosco",2005,"m"
"Bosco",2010,"m"
"Bosco",2018,"m"
"Bosko",2010,"m"
"Boss",2016,"m"
"Boss",2016,"m"
"Boss",2015,"m"
"Boston",2015,"m"
"Boszi",2013,"w"
"Boubou",2005,"m"
"Boubou",2009,"m"
"Boudy Snoody Happyparadise",2016,"m"
"Boulie",2011,"w"
"Bousa",2015,"w"
"Bout de Chou",2009,"m"
"Bowie",2013,"m"
"Bowie",2016,"m"
"Bowie",2017,"m"
"Bowser",2018,"m"
"Brad Star Magic Maltese",2018,"m"
"Brady",2015,"m"
"Brahms ""Brando""",2006,"m"
"Branca",2010,"w"
"Branco",2014,"m"
"Brandy",2006,"m"
"Bratan von Diessenhofen",2018,"m"
"Brauni",2014,"w"
"Bravo",2007,"m"
